time(ms),accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ
0,0.467376709,0.817565918,-0.305557251
9.651,0.467956543,0.829574585,-0.293289185
19.337,0.474807739,0.828384399,-0.284851074
28.996,0.476806641,0.821929932,-0.291213989
38.71,0.479217529,0.823455811,-0.292404175
48.386,0.476196289,0.833099365,-0.291259766
58.06,0.471099854,0.838378906,-0.288085938
67.753,0.466812134,0.847686768,-0.290542603
77.457,0.466949463,0.847900391,-0.292327881
87.146,0.466766357,0.850799561,-0.29776001
96.806,0.468338013,0.845947266,-0.299865723
106.51,0.462265015,0.843948364,-0.296432495
116.199,0.457946777,0.84072876,-0.306259155
125.885,0.451705933,0.847671509,-0.310394287
135.554,0.455947876,0.847763062,-0.312652588
145.245,0.461669922,0.839920044,-0.315841675
154.934,0.469314575,0.836486816,-0.314834595
164.616,0.470779419,0.833404541,-0.313964844
174.315,0.472427368,0.832275391,-0.312744141
184.013,0.479644775,0.826782227,-0.314651489
193.674,0.478637695,0.825073242,-0.315597534
203.389,0.475341797,0.830474854,-0.312911987
213.077,0.471405029,0.831970215,-0.30770874
222.756,0.472427368,0.836639404,-0.30329895
232.451,0.477752686,0.83782959,-0.299285889
242.141,0.476074219,0.833251953,-0.302566528
251.824,0.4715271,0.835571289,-0.30682373
261.518,0.470855713,0.841781616,-0.305023193
271.207,0.474639893,0.841445923,-0.304336548
280.895,0.472229004,0.838775635,-0.301208496
290.583,0.466583252,0.844451904,-0.295425415
300.266,0.455535889,0.842163086,-0.289764404
309.96,0.453384399,0.842163086,-0.284378052
319.646,0.451004028,0.847915649,-0.283035278
329.319,0.444702148,0.846572876,-0.28288269
339.023,0.457641602,0.840072632,-0.275421143
348.711,0.457092285,0.84677124,-0.271911621
358.384,0.455169678,0.85874939,-0.274261475
368.086,0.459976196,0.858688354,-0.282440186
377.774,0.463119507,0.851089478,-0.297836304
387.455,0.474700928,0.848129272,-0.306427002
397.15,0.475875854,0.84274292,-0.311325073
406.838,0.470031738,0.836425781,-0.309768677
416.526,0.474899292,0.838363647,-0.30708313
426.217,0.47593689,0.83934021,-0.303878784
435.904,0.469024658,0.836303711,-0.303222656
445.593,0.459732056,0.836273193,-0.292755127
455.265,0.452178955,0.831497192,-0.290817261
464.97,0.449676514,0.827590942,-0.287689209
474.657,0.452392578,0.828308105,-0.287261963
484.344,0.456390381,0.830871582,-0.292892456
494.022,0.470993042,0.833068848,-0.297775269
503.719,0.480758667,0.833755493,-0.30267334
513.406,0.476196289,0.835494995,-0.302536011
523.087,0.471984863,0.840591431,-0.306594849
532.78,0.466567993,0.831085205,-0.308731079
542.466,0.460708618,0.825164795,-0.314437866
552.145,0.454940796,0.827468872,-0.318466187
561.837,0.448822021,0.827163696,-0.317947388
571.506,0.448989868,0.829666138,-0.314834595
581.204,0.447402954,0.829345703,-0.312362671
590.896,0.454788208,0.836853027,-0.304428101
600.559,0.466217041,0.843643188,-0.305984497
610.27,0.464553833,0.848007202,-0.313369751
619.957,0.457901001,0.84375,-0.311920166
629.645,0.461700439,0.839706421,-0.307678223
639.317,0.461730957,0.840866089,-0.302764893
649.017,0.456008911,0.841262817,-0.298233032
658.694,0.451049805,0.844818115,-0.302276611
668.331,0.457504272,0.848587036,-0.300994873
678.018,0.461502075,0.845077515,-0.301544189
687.688,0.459197998,0.845535278,-0.30859375
697.395,0.463241577,0.847885132,-0.306091309
707.08,0.459106445,0.849334717,-0.306945801
716.754,0.448074341,0.845794678,-0.304168701
726.459,0.450027466,0.846893311,-0.299819946
736.148,0.451889038,0.844268799,-0.296661377
745.835,0.450759888,0.843887329,-0.299285889
755.508,0.450836182,0.844039917,-0.305236816
765.211,0.453430176,0.845474243,-0.305206299
774.881,0.457275391,0.849060059,-0.309555054
784.583,0.459899902,0.850067139,-0.307128906
794.268,0.457427979,0.844802856,-0.306808472
803.944,0.453201294,0.84954834,-0.302764893
813.633,0.44770813,0.851150513,-0.29838562
823.313,0.440719604,0.850738525,-0.296722412
833.015,0.444061279,0.862976074,-0.299606323
842.697,0.435699463,0.869155884,-0.299926758
852.38,0.431137085,0.854827881,-0.29069519
862.091,0.432601929,0.846328735,-0.271026611
871.777,0.443099976,0.852310181,-0.258148193
881.458,0.434188843,0.85295105,-0.277557373
891.153,0.425491333,0.851669312,-0.305343628
